unix,time,n1,n2,diff,volume
2018-05-20,02:00:00,8204.086635677986,8194.282147344116,9.804488333869813,200.22857628000042
2018-05-20,03:00:00,8220.975894823345,8204.086635677986,16.889259145358665,97.40494329999987
2018-05-20,04:00:00,8240.761437898282,8220.975894823345,19.785543074936868,68.07365865999991
2018-05-20,05:00:00,8252.539071927682,8240.761437898282,11.77763402940036,46.99622391000004
2018-05-20,06:00:00,8257.247032321326,8252.539071927682,4.707960393643589,36.64563739000001
2018-05-20,07:00:00,8261.549886288014,8257.247032321326,4.302853966688417,28.746283040000037
2018-05-20,08:00:00,8267.567968939058,8261.549886288014,6.018082651044097,182.8541642200001
2018-05-20,09:00:00,8287.739962062393,8267.567968939058,20.171993123334687,400.1771832200003
2018-05-20,10:00:00,8311.020986907115,8287.739962062393,23.281024844722197,288.1038183400005
2018-05-20,11:00:00,8332.82934636404,8311.020986907115,21.808359456925245,182.93575388000008
2018-05-20,12:00:00,8343.62729370009,8332.82934636404,10.797947336050129,777.8115808500011
2018-05-20,13:00:00,8345.04766523655,8343.62729370009,1.4203715364601521,493.5881748799998
2018-05-20,14:00:00,8346.370344312132,8345.04766523655,1.3226790755816182,118.62666944000004
2018-05-20,15:00:00,8353.614972674843,8346.370344312132,7.2446283627105,174.36823852999993
2018-05-20,16:00:00,8384.458585292814,8353.614972674843,30.843612617971303,901.7466899399997
2018-05-20,17:00:00,8432.38624800859,8384.458585292814,47.92766271577602,222.4481180900004
2018-05-20,18:00:00,8484.447017927725,8432.38624800859,52.060769919135055,113.79733559999987
2018-05-20,19:00:00,8526.588315923207,8484.447017927725,42.14129799548209,84.20327765999987
2018-05-20,20:00:00,8561.700232263855,8526.588315923207,35.11191634064744,261.4435319400002
2018-05-20,21:00:00,8578.81164563503,8561.700232263855,17.11141337117624,168.77509739
2018-05-20,22:00:00,8573.05502631685,8578.81164563503,-5.756619318181038,111.06687301000002
2018-05-20,23:00:00,8559.589424079413,8573.05502631685,-13.465602237436542,122.11831100000006
2018-05-21,00:00:00,8539.615133978987,8559.589424079413,-19.974290100426515,267.3222766500005
2018-05-21,01:00:00,8515.530325305519,8539.615133978987,-24.084808673467705,210.3926081400003
2018-05-21,02:00:00,8496.543905733242,8515.530325305519,-18.986419572276645,211.36080726
2018-05-21,03:00:00,8485.584790574334,8496.543905733242,-10.95911515890839,146.22090123000015
2018-05-21,04:00:00,8485.469924402076,8485.584790574334,-0.11486617225818918,93.34502450999986
2018-05-21,05:00:00,8488.539997000282,8485.469924402076,3.070072598206025,89.03604174999985
2018-05-21,06:00:00,8503.084988732151,8488.539997000282,14.544991731869231,307.58596565999994
2018-05-21,07:00:00,8517.151632703473,8503.084988732151,14.066643971322264,307.1959248800001
2018-05-21,08:00:00,8525.0384587501,8517.151632703473,7.8868260466260836,164.2385402699999
2018-05-21,09:00:00,8519.839511172058,8525.0384587501,-5.198947578041043,151.21342113000006
2018-05-21,10:00:00,8507.448669965515,8519.839511172058,-12.390841206542973,399.769215199999
2018-05-21,11:00:00,8491.424725135113,8507.448669965515,-16.023944830401888,362.01134305000005
2018-05-21,12:00:00,8482.159954852988,8491.424725135113,-9.264770282125028,260.8542623000006
2018-05-21,13:00:00,8477.88642239554,8482.159954852988,-4.2735324574478,232.31725373000003
2018-05-21,14:00:00,8461.927169451277,8477.88642239554,-15.959252944263426,1109.4469884199984
2018-05-21,15:00:00,8441.052330175646,8461.927169451277,-20.87483927563153,348.49672306
2018-05-21,16:00:00,8418.7081478886,8441.052330175646,-22.34418228704635,210.56698991000007
2018-05-21,17:00:00,8396.937568060821,8418.7081478886,-21.77057982777842,274.92408246999975
2018-05-21,18:00:00,8371.937773024723,8396.937568060821,-24.999795036097566,277.82640320999985
2018-05-21,19:00:00,8354.16776843692,8371.937773024723,-17.77000458780276,99.57080141999992
2018-05-21,20:00:00,8353.641026382391,8354.16776843692,-0.5267420545296773,273.11659294000003
2018-05-21,21:00:00,8359.238666310399,8353.641026382391,5.597639928007993,129.46787957999993
2018-05-21,22:00:00,8371.078014539808,8359.238666310399,11.839348229408643,113.04619571999987
2018-05-21,23:00:00,8381.142962485883,8371.078014539808,10.064947946075335,87.59782386999987
2018-05-22,00:00:00,8384.550195107686,8381.142962485883,3.4072326218029048,159.36582677000004
2018-05-22,01:00:00,8365.221270443453,8384.550195107686,-19.328924664232545,433.28045361000085
2018-05-22,02:00:00,8337.235136903082,8365.221270443453,-27.986133540371156,133.29100599999995
2018-05-22,03:00:00,8316.785718545822,8337.235136903082,-20.449418357260583,200.57162556
2018-05-22,04:00:00,8297.1783449877,8316.785718545822,-19.607373558121253,210.33353390000042
2018-05-22,05:00:00,8280.362491883117,8297.1783449877,-16.815853104582857,206.40304221000008
2018-05-22,06:00:00,8275.214296856093,8280.362491883117,-5.148195027024485,357.52955913000017
2018-05-22,07:00:00,8281.208969105428,8275.214296856093,5.9946722493350535,107.42728136999986
2018-05-22,08:00:00,8287.581726123255,8281.208969105428,6.372757017827098,116.53607947
2018-05-22,09:00:00,8281.491596353957,8287.581726123255,-6.090129769298073,479.0705923699994
2018-05-22,10:00:00,8272.716810720334,8281.491596353957,-8.774785633622741,290.3847223300004
2018-05-22,11:00:00,8252.018814809026,8272.716810720334,-20.69799591130868,812.9648780200005
2018-05-22,12:00:00,8221.262085257522,8252.018814809026,-30.756729551503668,1542.8664040399979
2018-05-22,13:00:00,8197.94041020509,8221.262085257522,-23.3216750524316,430.36284399
2018-05-22,14:00:00,8188.420646275308,8197.94041020509,-9.51976392978213,312.54023326999976
